"Name","Live Bytes","Live Objects"
"java.lang.Object[]","320,437,464 B (31.3%)","342,025 (3.8%)"
"byte[]","226,392,048 B (22.1%)","1,779,858 (19.9%)"
"int[]","131,479,864 B (12.8%)","1,044,461 (11.7%)"
"jdk.internal.vm.FillerElement[]","94,563,864 B (9.2%)","57,101 (0.6%)"
"java.lang.String","28,198,368 B (2.8%)","1,174,932 (13.1%)"
"java.util.concurrent.ConcurrentHashMap$Node","26,463,520 B (2.6%)","826,985 (9.2%)"
"double[]","19,163,864 B (1.9%)","8,460 (0.1%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","13,221,344 B (1.3%)","104,827 (1.2%)"
"long[]","11,126,880 B (1.1%)","20,763 (0.2%)"
"char[]","8,421,616 B (0.8%)","68,185 (0.8%)"
"java.util.concurrent.ConcurrentHashMap","7,526,464 B (0.7%)","117,601 (1.3%)"
"java.util.HashMap$Node","7,176,896 B (0.7%)","224,278 (2.5%)"
"java.util.LinkedHashMap$Entry","6,238,800 B (0.6%)","155,970 (1.7%)"
"net.i2p.util.OrderedProperties","5,638,528 B (0.6%)","100,688 (1.1%)"
"net.i2p.stat.Rate","5,062,656 B (0.5%)","52,736 (0.6%)"
"float[]","4,737,952 B (0.5%)","21,832 (0.2%)"
"int[][]","4,048,080 B (0.4%)","55,551 (0.6%)"
"net.i2p.util.SyntheticREDQueue","3,862,584 B (0.4%)","43,893 (0.5%)"
"java.util.HashMap$Node[]","3,861,752 B (0.4%)","21,676 (0.2%)"
"net.i2p.router.tunnel.HopConfig","3,484,544 B (0.3%)","54,446 (0.6%)"
"net.i2p.crypto.eddsa.math.ed25519.Ed25519FieldElement","3,478,320 B (0.3%)","144,930 (1.6%)"
"net.i2p.data.router.RouterAddress","2,993,360 B (0.3%)","74,834 (0.8%)"
"net.i2p.data.SessionKey","2,708,136 B (0.3%)","112,839 (1.3%)"
"java.lang.StringBuilder","2,446,608 B (0.2%)","101,942 (1.1%)"
"net.i2p.data.TunnelId","2,443,200 B (0.2%)","101,800 (1.1%)"
"net.i2p.data.router.RouterInfo","2,068,000 B (0.2%)","25,850 (0.3%)"
"java.util.TreeMap$Entry","2,016,920 B (0.2%)","50,423 (0.6%)"
"net.i2p.router.util.CoDelBlockingQueue","1,963,392 B (0.2%)","15,339 (0.2%)"
"java.text.DecimalFormat","1,819,152 B (0.2%)","12,633 (0.1%)"
"java.util.concurrent.ConcurrentHashMap$EntrySetView","1,636,128 B (0.2%)","102,258 (1.1%)"
"java.util.ArrayList","1,602,504 B (0.2%)","66,771 (0.7%)"
"java.util.HashMap","1,442,688 B (0.1%)","30,056 (0.3%)"
"java.lang.String[]","1,433,888 B (0.1%)","22,643 (0.3%)"
"java.time.LocalDateTime","1,407,696 B (0.1%)","58,654 (0.7%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","1,322,528 B (0.1%)","41,329 (0.5%)"
"net.i2p.data.Hash","1,298,640 B (0.1%)","54,110 (0.6%)"
"java.text.DecimalFormatSymbols","1,284,096 B (0.1%)","14,592 (0.2%)"
"net.i2p.router.transport.udp.PeerState2","1,236,672 B (0.1%)","2,712 (0%)"
"net.i2p.router.tunnel.ThrottledPumpedTunnelGateway","1,226,960 B (0.1%)","15,337 (0.2%)"
"java.lang.ref.WeakReference","1,214,592 B (0.1%)","37,956 (0.4%)"
"java.lang.Long","1,199,688 B (0.1%)","49,987 (0.6%)"
"net.i2p.data.router.RouterIdentity","1,055,680 B (0.1%)","26,392 (0.3%)"
"net.i2p.router.tunnel.TunnelParticipant","1,034,064 B (0.1%)","21,543 (0.2%)"
"java.lang.Class","1,011,928 B (0.1%)","8,253 (0.1%)"
"java.util.concurrent.atomic.AtomicInteger","969,888 B (0.1%)","60,618 (0.7%)"
"net.i2p.router.tunnel.HopProcessor","913,664 B (0.1%)","28,552 (0.3%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","881,640 B (0.1%)","36,735 (0.4%)"
"net.i2p.crypto.eddsa.math.GroupElement","805,248 B (0.1%)","16,776 (0.2%)"
"java.time.LocalDate","794,832 B (0.1%)","33,118 (0.4%)"
"net.i2p.router.tunnel.TunnelGateway$DelayedFlush","758,784 B (0.1%)","15,808 (0.2%)"
